fecha_hora,real,modelo,prediccion,escenario
2025-03-28 21:00:00,10146131.08,Prophet,10065276.354324434,historical
2025-03-28 22:00:00,9533884.89,Prophet,9468672.757854953,historical
2025-03-28 23:00:00,9050081.74,Prophet,8857961.781082842,historical
2025-03-29 00:00:00,8614942.49,Prophet,8389144.155858822,historical
2025-03-29 01:00:00,8361317.52,Prophet,8101881.957356504,historical
2025-03-29 02:00:00,8130718.7,Prophet,7942516.489034261,historical
2025-03-29 03:00:00,7972768.27,Prophet,7854763.932435232,historical
2025-03-29 04:00:00,7981401.17,Prophet,7845074.807657942,historical
2025-03-29 05:00:00,8083114.56,Prophet,7965253.499819756,historical
2025-03-29 06:00:00,8230495.73,Prophet,8240746.1149295885,historical
2025-03-29 07:00:00,8701194.13,Prophet,8623218.035938203,historical
2025-03-29 08:00:00,9177632.75,Prophet,9014828.356244171,historical
2025-03-29 09:00:00,9467760.31,Prophet,9335879.32308204,historical
2025-03-29 10:00:00,9739961.39,Prophet,9566274.861738384,historical
2025-03-29 11:00:00,10005599.23,Prophet,9724425.291649133,historical
2025-03-29 12:00:00,9967075.93,Prophet,9816636.937910236,historical
2025-03-29 13:00:00,9942154.98,Prophet,9820643.924333818,historical
2025-03-29 14:00:00,9960559.8,Prophet,9725744.63801743,historical
2025-03-29 15:00:00,9879936.19,Prophet,9582838.404844763,historical
2025-03-29 16:00:00,9784234.18,Prophet,9496232.496821607,historical
2025-03-29 17:00:00,9700923.67,Prophet,9543645.842663517,historical
2025-03-29 18:00:00,10223756.97,Prophet,9689867.948890485,historical
2025-03-29 19:00:00,10287430.09,Prophet,9781235.859145885,historical
2025-03-29 20:00:00,10065190.77,Prophet,9643367.323050106,historical
2025-03-29 21:00:00,9704680.58,Prophet,9210004.190702239,historical
2025-03-29 22:00:00,9265225.79,Prophet,8576446.38939607,historical
2025-03-29 23:00:00,8789502.74,Prophet,7932852.619072069,historical
2025-03-30 00:00:00,8382681.47,Prophet,7435667.6174324155,historical
2025-03-30 01:00:00,8048984.44,Prophet,7124964.020197403,historical
2025-03-30 02:00:00,7829486.82,Prophet,6947455.229297812,historical
2025-03-30 03:00:00,7640699.38,Prophet,6847186.419996122,historical
2025-03-30 04:00:00,7552815.41,Prophet,6830889.790206272,historical
2025-03-30 05:00:00,7449305.02,Prophet,6950600.360201616,historical
2025-03-30 06:00:00,7255404.23,Prophet,7231940.633286338,historical
2025-03-30 07:00:00,7519021.32,Prophet,7626695.529230297,historical
2025-03-30 08:00:00,7803886.07,Prophet,8037084.802240276,historical
2025-03-30 09:00:00,8028602.3,Prophet,8383411.103345659,historical
2025-03-30 10:00:00,8289015.16,Prophet,8645517.77807825,historical
2025-03-30 11:00:00,8554092.37,Prophet,8841693.522962017,historical
2025-03-30 12:00:00,8605278.66,Prophet,8978062.608614393,historical
2025-03-30 13:00:00,8673998.44,Prophet,9032117.952410078,historical
2025-03-30 14:00:00,8656824.17,Prophet,8992859.519098314,historical
